SAMPLE_TIME,DETERMINANT,N_RESULT
8/1/18 3:00 AM,MI                              ,3.535
8/1/18 7:00 AM,MI                              ,3.053
8/1/18 11:00 AM,MI                              ,3.051
8/1/18 3:00 PM,MI                              ,3.121
8/1/18 7:00 PM,MI                              ,3.35
8/1/18 11:00 PM,MI                              ,3.366
8/2/18 3:00 AM,MI                              ,3.315
8/2/18 7:00 AM,MI                              ,3.64
8/2/18 11:00 AM,MI                              ,3.51
8/2/18 3:00 PM,MI                              ,3.508
8/2/18 7:00 PM,MI                              ,3.73
8/2/18 11:00 PM,MI                              ,3.81
8/3/18 3:00 AM,MI                              ,3.35
8/3/18 7:00 AM,MI                              ,3.686
8/3/18 11:00 AM,MI                              ,3.924
8/3/18 3:00 PM,MI                              ,3.546
8/3/18 7:00 PM,MI                              ,3.345
8/3/18 11:00 PM,MI                              ,3.177
8/4/18 3:00 AM,MI                              ,3.942
8/4/18 7:00 AM,MI                              ,3.487
8/4/18 11:00 AM,MI                              ,3.814
8/4/18 3:00 PM,MI                              ,3.94
8/4/18 7:00 PM,MI                              ,3.994
8/4/18 11:00 PM,MI                              ,3.764
8/5/18 3:00 AM,MI                              ,3.628
8/5/18 7:00 AM,MI                              ,3.146
8/5/18 11:00 AM,MI                              ,3.241
8/5/18 3:00 PM,MI                              ,3.359
8/5/18 7:00 PM,MI                              ,3.477
8/5/18 11:00 PM,MI                              ,3.601
8/6/18 3:00 AM,MI                              ,3.491
8/6/18 7:00 AM,MI                              ,4.355
8/6/18 11:00 AM,MI                              ,4.013
8/6/18 3:00 PM,MI                              ,3.243
8/6/18 7:00 PM,MI                              ,3.5
8/6/18 11:00 PM,MI                              ,3.98
8/7/18 3:00 AM,MI                              ,3.06
8/7/18 7:00 AM,MI                              ,3.76
8/7/18 11:00 AM,MI                              ,3.55
8/7/18 3:00 PM,MI                              ,3.7
8/7/18 7:00 PM,MI                              ,3.99
8/7/18 11:00 PM,MI                              ,3.934
8/8/18 3:00 AM,MI                              ,4.012
8/8/18 7:00 AM,MI                              ,3.59
8/8/18 11:00 AM,MI                              ,3.391
8/8/18 3:00 PM,MI                              ,3.408
8/8/18 7:00 PM,MI                              ,4.4
8/8/18 11:00 PM,MI                              ,4.52
8/9/18 3:00 AM,MI                              ,4.68
8/9/18 7:00 AM,MI                              ,4.62
8/9/18 11:00 AM,MI                              ,4.33
8/9/18 3:00 PM,MI                              ,4.44
8/9/18 7:00 PM,MI                              ,4.171
8/9/18 11:00 PM,MI                              ,4.095
8/10/18 3:00 AM,MI                              ,4.348
8/10/18 7:00 AM,MI                              ,4.33
8/10/18 11:00 AM,MI                              ,4.76
8/12/18 7:00 AM,MI                              ,4.811
8/12/18 11:00 AM,MI                              ,8.469
8/12/18 3:00 PM,MI                              ,7.832
8/12/18 7:00 PM,MI                              ,3.989
8/12/18 11:00 PM,MI                              ,4.304
8/13/18 3:00 AM,MI                              ,4.045
8/13/18 7:00 AM,MI                              ,4.358
8/13/18 11:00 AM,MI                              ,4.215
8/13/18 3:00 PM,MI                              ,4.125
8/13/18 7:00 PM,MI                              ,4.539
8/13/18 11:00 PM,MI                              ,4.794
8/14/18 3:00 AM,MI                              ,4.809
8/14/18 7:00 AM,MI                              ,4.429
8/14/18 11:00 AM,MI                              ,4.537
8/14/18 3:00 PM,MI                              ,6.67
8/14/18 5:00 PM,MI                              ,4.719
8/14/18 7:00 PM,MI                              ,4.637
8/14/18 11:00 PM,MI                              ,4.61
8/15/18 3:00 AM,MI                              ,4.59
8/15/18 7:00 AM,MI                              ,4.449
8/15/18 11:00 AM,MI                              ,4.866
8/15/18 3:00 PM,MI                              ,4.841
8/15/18 7:00 PM,MI                              ,5
8/15/18 11:00 PM,MI                              ,5.32
8/16/18 3:00 AM,MI                              ,5.6
8/16/18 7:00 AM,MI                              ,4.826
8/16/18 11:00 AM,MI                              ,4.498
8/16/18 3:00 PM,MI                              ,4.268
8/16/18 7:00 PM,MI                              ,4.016
